pedidos,casos,id_general,estado,organismo_informante,nro_de_expediente_interno,forma_del_pedido,punto_de_ingreso,sector_al_que_se_dirige_la_solicitud,isodatetime_fecha_de_recepcion_de_la_solicitud_por_el_organismo,fecha_de_recepcion_de_la_solicitud_por_el_organismo,isodatetime_fecha_de_recepcion_de_la_solicitud_por_el_enlace,fecha_de_recepcion_de_la_solicitud_por_el_enlace,perfil_del_solicitante,sintesis_de_la_solicitud,rubro_de_solicitud_de_informacion,sector_al_que_derivo_el_enlace_dentro_del_organismo,plazo_en_el_que_se_contesto_la_solicitud,forma_de_aviso_de_uso_de_la_prorroga_al_solicitante,condicion_de_respuesta,isodatetime_fecha_de_la_respuesta,fecha_de_la_respuesta,cargo_del_funcionario_que_firma_la_entrega_de_la_informacion
21.0,21,JUS ,Cerrado en plazo,Ministerio de Justicia y DDHH,EXP-S04:59615/15,Nota,Mesa General de entradas,Ss. de Gestión Penitenciaria,2015-10-26T00:00:00-03:00,10/26/2015,2015-10-26T00:00:00-03:00,10/26/2015,Particular,Solicitud relacionada con los Internos de las Unidades Penitenciarias Federales.=,Actuaciones administrativas,Ss. de Gestión Penitenciaria,En el plazo máximo de 20 días,Por carta,Brindó la información,2015-11-13T00:00:00-03:00,13/11/2015,Ss. de Gestión Penitenciaria
22.0,22,JUS,Cerrado en plazo,Ministerio de Justicia y DDHH,EXP-S04:56465/15,Nota,Mesa General de entradas,Ss. de Gestión Penitenciaria,2015-10-13T00:00:00-03:00,10/13/2015,2015-10-13T00:00:00-03:00,10/13/2015,Particular,Solicitud relacionada con el EXP.N°:39.458/2008,Actuaciones administrativas,Ss. de Gestión Penitenciaria,En el plazo máximo de 20 días,Por carta,Brindó la información,2015-11-05T00:00:00-03:00,05/11/2015,Ss. de Gestión Penitenciaria
23.0,23,MDS-739-2015,Cerrado en plazo,Ministerio de Desarrollo Social,N-17487-2015,Nota,Mesa General de entradas,Ministra de Desarrollo Social,2015-03-19T00:00:00-03:00,3/19/2015,2015-03-19T00:00:00-03:00,3/19/2015,Senador/Diputado u otro cargo electo,"Si el Miniserio de Desarrollo Social guardaba documentacion en los depósitos de la firma Iron Mountain, incendiada el 5 de febrero de 2014 y en caso afirmativo detallar cúales",Información político - institucional,Secretaría Nacional de la Niñez Adolescencia y Familia,En el plazo de 10 días,,Brindó la información,2015-04-01T00:00:00-03:00,01/04/2015,Responsable de Acceso a la Información del MDS
24.0,24,MDS-740-2015,Cerrado en plazo,Ministerio de Desarrollo Social,N-17757-2015,Nota,Mesa General de entradas,Ministra de Desarrollo Social,2015-03-20T00:00:00-03:00,3/20/2015,2015-03-20T00:00:00-03:00,3/20/2015,Senador/Diputado u otro cargo electo,"Cuántos beneficiarios de la provincia de Formos que percibenel Plan Nacional de Niñez, Adolescencia y Familia, Plan Ahí, Plan NACIONAL de Acción por los Derechos de Niñas, Niños y Adolescentes y Plan NACIONAL Familias discriminados por Plan. ","Información Estadística, Informes, Estudios e Investigaciones Oficiales",Comisión Nacional de Pensiones,En el plazo de 10 días,,Brindó la información,2015-04-09T00:00:00-03:00,09/04/2015,Presidenta de la Comision Nacional para la Integracion de las Personas con Discapacidad
24.0,25,MDS-741-2015,Pendiente,Ministerio de Desarrollo Social,N-17757-2015,Nota,Mesa General de entradas,Ministra de Desarrollo Social,2015-03-20T00:00:00-03:00,3/20/2015,2015-03-20T00:00:00-03:00,3/20/2015,Senador/Diputado u otro cargo electo,Cuántos beneficiarios de la provincia de Formsosa perciben el Plan Argentina Trabaja,"Información Estadística, Informes, Estudios e Investigaciones Oficiales",Dirección Plan de Abordaje Integral(Plan Ahí),,,Pendiente,,,
24.0,26,MDS-742-2015,Pendiente,Ministerio de Desarrollo Social,N-17757-2015,Nota,Mesa General de entradas,Ministra de Desarrollo Social,2015-03-20T00:00:00-03:00,3/20/2015,2015-03-20T00:00:00-03:00,3/20/2015,Senador/Diputado u otro cargo electo,Cuántos beneficiarios de la provincia de Formosa perciben Pensiones Nacionales No Contributivas,"Información Estadística, Informes, Estudios e Investigaciones Oficiales",Coordinación de Financiamiento Para el Formato del Ing. Soc. Con Trabajo.,,,Pendiente,,,
24.0,27,MDS-743-2015,Cerrado en plazo,Ministerio de Desarrollo Social,N-17757-2015,Nota,Mesa General de entradas,Ministra de Desarrollo Social,2015-03-20T00:00:00-03:00,3/20/2015,2015-03-20T00:00:00-03:00,3/20/2015,Senador/Diputado u otro cargo electo,"Cuántos beneficiarios de la provincia de Formos que percibenel Plan Nacional de Niñez, Adolescencia y Familia,  Plan NACIONAL de Acción por los Derechos de Niñas, Niños y Adolescentes y Plan NACIONAL Familias discriminados por Plan. ","Información Estadística, Informes, Estudios e Investigaciones Oficiales",,En el plazo de 10 días,,Brindó la información,,,"Secretario Nacional de Niñez, Adolescencia y Familia"
25.0,28,MDS-744-2015,Cerrado en plazo,Ministerio de Desarrollo Social,N-17759-2015,Nota,Mesa General de entradas,Ministra de Desarrollo Social,2015-03-20T00:00:00-03:00,3/20/2015,2015-03-20T00:00:00-03:00,3/20/2015,Senador/Diputado u otro cargo electo,Beneficiarios en Formosa del Plan Progresar,"Información Estadística, Informes, Estudios e Investigaciones Oficiales",,,,Devuelta por no corresponder al organismo,,,
26.0,29,MDS-745-2015,Pendiente,Ministerio de Desarrollo Social,N-22331-2015,Nota,Mesa General de entradas,Ministra de Desarrollo Social,2015-04-09T00:00:00-03:00,4/9/2015,2015-04-09T00:00:00-03:00,4/9/2015,Particular,"Por departamento y durante los últimos 5 años , año por año,  cuántos empleados de planta transitoria ganan menos de $ 10.000 en mano","Información Estadística, Informes, Estudios e Investigaciones Oficiales",Direccion de Administracion de Personal,,,Pendiente,,,
27.0,30,MDS-746-2015,Pendiente,Ministerio de Desarrollo Social,N-37538-2015,Nota,Mesa General de entradas,Ministra de Desarrollo Social,2015-05-26T00:00:00-03:00,5/26/2015,2015-05-26T00:00:00-03:00,5/26/2015,Particular,Cantidad de beneficiarios del plan Argentina Trabaja en la provincia de Buenos Aies,"Información Estadística, Informes, Estudios e Investigaciones Oficiales",Coordinacion de Financiamiento Para el Fomento de Ingreso Social Con Trabajo,,,Pendiente,,,
27.0,31,MDS-747-2015,Pendiente,Ministerio de Desarrollo Social,N-37538-2015,Nota,Mesa General de entradas,Ministra de Desarrollo Social,2015-05-26T00:00:00-03:00,5/26/2015,2015-05-26T00:00:00-03:00,5/26/2015,Particular,Cantidad de beneficiarios de sexo femenino y de sexo masculino,"Información Estadística, Informes, Estudios e Investigaciones Oficiales",Coordinacion de Financiamiento Para el Fomento de Ingreso Social Con Trabajo,,,Pendiente,,,
27.0,32,MDS-748-2015,Pendiente,Ministerio de Desarrollo Social,N-37538-2015,Nota,Mesa General de entradas,Ministra de Desarrollo Social,2015-05-26T00:00:00-03:00,5/26/2015,2015-05-26T00:00:00-03:00,5/26/2015,Particular,Nombres y apellidos de los mismos,"Información Estadística, Informes, Estudios e Investigaciones Oficiales",Coordinacion de Financiamiento Para el Fomento de Ingreso Social Con Trabajo,,,Pendiente,,,
27.0,33,MDS-745-2015,Pendiente,Ministerio de Desarrollo Social,N-37538-2015,Nota,Mesa General de entradas,Ministra de Desarrollo Social,2015-05-26T00:00:00-03:00,5/26/2015,2015-05-26T00:00:00-03:00,5/26/2015,Particular,Ciudad a la que pertenecen,"Información Estadística, Informes, Estudios e Investigaciones Oficiales",Coordinacion de Financiamiento Para el Fomento de Ingreso Social Con Trabajo,,,Pendiente,,,
27.0,34,MDS-750-2015,Pendiente,Ministerio de Desarrollo Social,N-37538-2015,Nota,Mesa General de entradas,Ministra de Desarrollo Social,2015-05-26T00:00:00-03:00,5/26/2015,2015-05-26T00:00:00-03:00,5/26/2015,Particular,Diferentes planes sociales que brinda el Ministerio de Desarrollo Social,"Información Estadística, Informes, Estudios e Investigaciones Oficiales",Coordinacion de Financiamiento Para el Fomento de Ingreso Social Con Trabajo,,,Pendiente,,,
28.0,35,MDS-751-2015,Cerrado fuera de plazo,Ministerio de Desarrollo Social,N-70379-2015,Nota,Mesa General de entradas,Ministra de Desarrollo Social,2015-09-09T00:00:00-03:00,9/9/2015,2015-09-11T00:00:00-03:00,9/11/2015,Particular,Informe provincias integradas al PRIST-AT que implementan la posibilidad de la terminalidad educativa para sus receptores,información político - institucional,Coordinacion de Financiamiento Para el Fomento de Ingreso Social Con Trabajo,"Se contestó, pero luego de los 20 días",Por carta,Brindó la información,2015-12-01T00:00:00-03:00,01/12/2015,Coordinadora de Financiamiento para el Fomento de Ingreso Social con Trabajo
28.0,36,MDS-752-2015,Cerrado fuera de plazo,Ministerio de Desarrollo Social,N-70379-2015,Nota,Mesa General de entradas,Ministra de Desarrollo Social,2015-09-09T00:00:00-03:00,9/9/2015,2015-09-11T00:00:00-03:00,9/11/2015,Particular,Cantidad de receptores que finalizaron su ciclo de educacion a través del Plan Fines según su distribucion territorial  desde el año 2009,Información político - institucional,Coordinación de Financiamiento Para el Formato del Ing. Soc. Con Trabajo.,"Se contestó, pero luego de los 20 días",Por carta,Brindó la información,2015-12-01T00:00:00-03:00,01/12/2015,Coordinadora de Financiamiento para el Fomento de Ingreso Social con Trabajo
28.0,37,MDS-753-2015,Cerrado fuera de plazo,Ministerio de Desarrollo Social,N-70379-2015,Nota,Mesa General de entradas,Ministra de Desarrollo Social,2015-09-09T00:00:00-03:00,9/9/2015,2015-09-11T00:00:00-03:00,9/11/2015,Particular,Razón por la cual se se observan las metas fisicas del programa se adviernte que 2014 disminuye la cantidad de insentivos otorgados,Información político - institucional,Coordinacion de Financiamiento Para el Fomento de Ingreso Social Con Trabajo,"Se contestó, pero luego de los 20 días",Por carta,Brindó la información,2015-12-01T00:00:00-03:00,01/12/2015,Coordinadora de Financiamiento para el Fomento de Ingreso Social con Trabajo
28.0,38,MDS-754-2015,Cerrado fuera de plazo,Ministerio de Desarrollo Social,N-70379-2015,Nota,Mesa General de entradas,Ministra de Desarrollo Social,2015-09-09T00:00:00-03:00,9/9/2015,2015-09-11T00:00:00-03:00,9/11/2015,Particular,Remita informes sobre el programa ralizado por las distintas Universidades implicadas en el Programa,Información político - institucional,Coordinacion de Financiamiento Para el Fomento de Ingreso Social Con Trabajo,"Se contestó, pero luego de los 20 días",Por carta,Brindó la información,2015-12-01T00:00:00-03:00,01/12/2015,Coordinadora de Financiamiento para el Fomento de Ingreso Social con Trabajo
28.0,39,MDS-755-2015,Cerrado fuera de plazo,Ministerio de Desarrollo Social,N-70379-2015,Nota,Mesa General de entradas,Ministra de Desarrollo Social,2015-09-09T00:00:00-03:00,9/9/2015,2015-09-11T00:00:00-03:00,9/11/2015,Particular,Remita copia de la evaluación realizada por el SIEMPRO en 2012 con el apoyo de las Universidades Nacionales,Información político - institucional,"Dirección Nacional del Sistema de Información, Evaluación y Monitoreo de Programas Sociales","Se contestó, pero luego de los 20 días",Por carta,Brindó la información,2015-12-01T00:00:00-03:00,01/12/2015,Coordinadora de Financiamiento para el Fomento de Ingreso Social con Trabajo
28.0,40,MDS-756-2015,Cerrado fuera de plazo,Ministerio de Desarrollo Social,N-70379-2015,Nota,Mesa General de entradas,Ministra de Desarrollo Social,2015-09-09T00:00:00-03:00,9/9/2015,2015-09-11T00:00:00-03:00,9/11/2015,Particular,"Infome la cantidad de cooperativas y receptores y/o entes ejecutores: VIVISOL, ENHOSA, etc.",Información político - institucional,Coordinacion de Financiamiento Para el Fomento de Ingreso Social Con Trabajo,"Se contestó, pero luego de los 20 días",Por carta,Brindó la información,2015-12-01T00:00:00-03:00,01/12/2015,Coordinadora de Financiamiento para el Fomento de Ingreso Social con Trabajo
28.0,41,MDS-757-2015,Cerrado fuera de plazo,Ministerio de Desarrollo Social,N-70379-2015,Nota,Mesa General de entradas,Ministra de Desarrollo Social,2015-09-09T00:00:00-03:00,9/9/2015,2015-09-11T00:00:00-03:00,9/11/2015,Particular,Remita listado de cooperativas indicando nombre y tipo de ente ejecutor que han alcanzado una satisfactoria capacidad técnica .,Información político - institucional,Coordinacion de Financiamiento Para el Fomento de Ingreso Social Con Trabajo,"Se contestó, pero luego de los 20 días",Por carta,Brindó la información,2015-12-01T00:00:00-03:00,01/12/2015,Coordinadora de Financiamiento para el Fomento de Ingreso Social con Trabajo
28.0,42,MDS-758-2015,Cerrado fuera de plazo,Ministerio de Desarrollo Social,N-70379-2015,Nota,Mesa General de entradas,Ministra de Desarrollo Social,2015-09-09T00:00:00-03:00,9/9/2015,2015-09-11T00:00:00-03:00,9/11/2015,Particular,Rol de la Direccion Nacional de la Promocion de la Comercializacion en torno a las cooperativas del Programa,Información político - institucional,Coordinación de Financiamiento Para el Formato del Ing. Soc. Con Trabajo.,"Se contestó, pero luego de los 20 días",Por carta,Brindó la información,2015-12-01T00:00:00-03:00,01/12/2015,Coordinadora de Financiamiento para el Fomento de Ingreso Social con Trabajo
28.0,43,MDS-759-2015,Cerrado fuera de plazo,Ministerio de Desarrollo Social,N-70379-2015,Nota,Mesa General de entradas,Miniserio de Desarrollo Social,2015-09-09T00:00:00-03:00,9/9/2015,2015-09-11T00:00:00-03:00,9/11/2015,Particular,"Cantidad de cooperativistas que se diplomaron como operadores y técnicos operadores socio educativos en Economía Social y Solidaria, etc.",Información político - institucional,Coordinación de Financiamiento Para el Formato del Ing. Soc. Con Trabajo.,"Se contestó, pero luego de los 20 días",Por carta,Brindó la información,2015-12-01T00:00:00-03:00,01/12/2015,Coordinadora de Financiamiento para el Fomento de Ingreso Social con Trabajo
29.0,44,MDS-760-2015,Cerrado fuera de plazo,Ministerio de Desarrollo Social,N-70376-2015,Nota,Mesa General de entradas,Ministra de Desarrollo Social,2015-09-09T00:00:00-03:00,9/9/2015,2015-09-11T00:00:00-03:00,9/11/2015,Particular,Cantidad de receptoras de la linea EH desde 2013,Información político - institucional,Coordinación de Financiamiento Para el Formato del Ing. Soc. Con Trabajo.,"Se contestó, pero luego de los 20 días",Por carta,Brindó la información,2015-11-26T00:00:00-03:00,26/11/2015,
29.0,45,MDS-761-2015,Cerrado fuera de plazo,Ministerio de Desarrollo Social,N-70376-2015,Nota,Mesa General de entradas,Ministra de Desarrollo Social,2015-09-09T00:00:00-03:00,9/9/2015,2015-09-11T00:00:00-03:00,9/11/2015,Particular,Informe si se produjeron traspasos del PRIST-AT hacia la ínea EH,Información político - institucional,Coordinación de Financiamiento Para el Formato del Ing. Soc. Con Trabajo.,"Se contestó, pero luego de los 20 días",Por carta,Brindó la información,2015-11-26T00:00:00-03:00,26/11/2015,Coordinadora de Financiamiento para el Fomento del Ingreso Social con Trabajo
29.0,46,MDS-762-2015,Cerrado fuera de plazo,Ministerio de Desarrollo Social,N-70376-2015,Nota,Mesa General de entradas,Ministra de Desarrollo Social,2015-09-09T00:00:00-03:00,9/9/2015,2015-09-11T00:00:00-03:00,9/11/2015,Particular,Cantidad de cooperativas creadas en el marco de la linea EH desde el 2013,Información político - institucional,Coordinación de Financiamiento Para el Formato del Ing. Soc. Con Trabajo.,"Se contestó, pero luego de los 20 días",Por carta,Brindó la información,2015-11-26T00:00:00-03:00,26/11/2015,Coordinadora de Financiamiento para el Fomento del Ingreso Social con Trabajo
29.0,47,MDS-763-2015,Cerrado fuera de plazo,Ministerio de Desarrollo Social,N-70376-2015,Nota,Mesa General de entradas,Ministra de Desarrollo Social,2015-09-09T00:00:00-03:00,9/9/2015,2015-09-11T00:00:00-03:00,9/11/2015,Particular,Listado de las cooperativas creadas en el marco de la linea EH y cantidad de integrantes desde 2013,Información político - institucional,Coordinación de Financiamiento Para el Formato del Ing. Soc. Con Trabajo.,"Se contestó, pero luego de los 20 días",Por carta,Brindó la información,2015-11-26T00:00:00-03:00,26/11/2015,Coordinadora de Financiamiento para el Fomento del Ingreso Social con Trabajo
